"Opponent Team","Total Points","Kick-off Time","Gameweek","modified","Minutes","Goals Scored","Assists","Clean Sheets","Goals Conceded","Own goals","Penalties Saved","Penalties Missed","Yellow Cards","Red Cards","Saves","Bonus","bps","Influence","Creativity","Threat","ICT Threat","clearances_blocks_interceptions","recoveries","tackles","defensive_contribution","Starts","xG","xA","xG Involvements","xG Conceded","Value","Transfer Balance","Selected","Transfers In","Transfers Out","Player ID"
14,10,"2025-08-17T15:30:00Z",1,FALSE,90,0,0,1,0,0,0,0,1,0,7,3,38,"49.2","0.0","0.0","4.9",1,13,0,0,1,"0.00","0.00","0.00","1.52",55,0,1531911,0,0,1
11,6,"2025-08-23T16:30:00Z",2,FALSE,90,0,0,1,0,0,0,0,0,0,1,0,28,"13.4","0.0","0.0","1.3",0,3,0,0,1,"0.00","0.00","0.00","0.17",55,218659,2284634,277339,58680,1
12,2,"2025-08-31T15:30:00Z",3,FALSE,90,0,0,0,1,0,0,0,0,0,2,0,12,"20.0","10.0","0.0","3.0",0,12,0,0,1,"0.00","0.02","0.02","0.52",55,-12311,2406964,146739,159050,1
16,6,"2025-09-13T11:30:00Z",4,FALSE,90,0,0,1,0,0,0,0,0,0,1,0,24,"12.8","0.0","0.0","1.3",0,9,0,0,1,"0.00","0.00","0.00","0.20",55,171289,2765759,289041,117752,1
13,2,"2025-09-21T15:30:00Z",5,FALSE,90,0,0,0,1,0,0,0,0,0,2,0,13,"21.4","0.0","0.0","2.1",1,6,0,0,1,"0.00","0.01","0.01","0.89",55,-9786,2762632,98100,107886,1
14,0,"2025-08-17T15:30:00Z",1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",45,0,90618,0,0,2
11,0,"2025-08-23T16:30:00Z",2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",45,-9834,89793,2130,11964,2
12,0,"2025-08-31T15:30:00Z",3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",44,-11575,81016,1131,12706,2
16,0,"2025-09-13T11:30:00Z",4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",44,-6913,76258,1271,8184,2
13,0,"2025-09-21T15:30:00Z",5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",44,-5570,71572,689,6259,2
14,0,"2025-08-17T15:30:00Z",1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",40,0,55400,0,0,3
11,0,"2025-08-23T16:30:00Z",2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",40,-1321,64836,3835,5156,3
12,0,"2025-08-31T15:30:00Z",3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",40,-8078,58537,1710,9788,3
16,0,"2025-09-13T11:30:00Z",4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",40,-7317,51317,0,7317,3
13,0,"2025-09-21T15:30:00Z",5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",40,-3824,47871,0,3824,3
14,0,"2025-08-17T15:30:00Z",1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",40,0,13373,0,0,4
11,0,"2025-08-23T16:30:00Z",2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",40,-533,16324,982,1515,4
12,0,"2025-08-31T15:30:00Z",3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",40,249,20855,2209,1960,4
16,0,"2025-09-13T11:30:00Z",4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",40,1786,24801,3875,2089,4
13,0,"2025-09-21T15:30:00Z",5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",40,1405,27540,3043,1638,4
14,6,"2025-08-17T15:30:00Z",1,FALSE,90,0,0,1,0,0,0,0,0,0,0,0,23,"22.8","0.3","4.0","2.7",6,1,1,7,1,"0.00","0.00","0.00","1.52",60,0,1696374,0,0,5
11,6,"2025-08-23T16:30:00Z",2,FALSE,90,0,0,1,0,0,0,0,0,0,0,0,26,"13.4","3.3","6.0","2.3",3,4,0,3,1,"0.04","0.01","0.05","0.17",60,254939,2292996,335537,80598,5
12,2,"2025-08-31T15:30:00Z",3,FALSE,90,0,0,0,1,0,0,0,0,0,0,0,8,"15.4","1.4","2.0","1.9",6,2,1,7,1,"0.02","0.01","0.03","0.52",61,-28048,2291736,137723,165771,5
16,9,"2025-09-13T11:30:00Z",4,FALSE,90,0,0,1,0,0,0,0,0,0,0,1,32,"28.0","1.3","9.0","3.8",8,3,2,10,1,"0.20","0.01","0.21","0.20",61,89836,2531223,230780,140944,5
13,2,"2025-09-21T15:30:00Z",5,FALSE,90,0,0,0,1,0,0,0,0,0,0,0,13,"19.6","2.3","0.0","2.2",7,1,1,8,1,"0.00","0.01","0.01","0.89",61,45804,2599245,134864,89060,5
14,9,"2025-08-17T15:30:00Z",1,FALSE,90,0,0,1,0,0,0,0,0,0,0,1,25,"31.4","0.1","0.0","3.2",10,3,4,14,1,"0.00","0.00","0.00","1.52",60,0,1257079,0,0,6
11,6,"2025-08-23T16:30:00Z",2,FALSE,90,0,0,1,0,0,0,0,0,0,0,0,27,"18.4","2.1","2.0","2.3",5,4,0,5,1,"0.00","0.01","0.01","0.17",60,247702,1933946,311233,63531,6
12,1,"2025-08-31T15:30:00Z",3,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,4,"3.0","0.0","0.0","0.3",3,0,0,3,1,"0.00","0.00","0.00","0.00",61,-10170,2042178,133191,143361,6
16,0,"2025-09-13T11:30:00Z",4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",61,-439095,1635010,26222,465317,6
13,2,"2025-09-21T15:30:00Z",5,FALSE,90,0,0,0,1,0,0,0,0,0,0,0,15,"22.0","3.0","4.0","2.9",5,8,4,9,1,"0.13","0.02","0.15","0.89",60,-198404,1469699,9735,208139,6
14,13,"2025-08-17T15:30:00Z",1,FALSE,71,1,0,1,0,0,0,0,1,0,0,2,33,"36.2","2.1","35.0","7.3",3,5,1,4,1,"0.91","0.01","0.92","0.87",55,0,63049,0,0,7
11,13,"2025-08-23T16:30:00Z",2,FALSE,63,0,2,1,0,0,0,0,0,0,0,1,38,"38.0","21.4","22.0","8.1",1,1,0,1,1,"0.39","0.01","0.40","0.17",55,249257,500185,275549,26292,7
12,2,"2025-08-31T15:30:00Z",3,FALSE,90,0,0,0,1,0,0,0,0,0,0,0,9,"9.8","1.9","11.0","2.3",5,3,2,7,1,"0.13","0.01","0.14","0.52",56,361084,982437,429321,68237,7
16,5,"2025-09-13T11:30:00Z",4,FALSE,67,0,0,1,0,0,0,0,1,0,0,0,16,"5.4","12.6","2.0","2.0",1,1,2,3,1,"0.00","0.01","0.01","0.10",57,459197,1569650,534037,74840,7
13,2,"2025-09-21T15:30:00Z",5,FALSE,90,0,0,0,1,0,0,0,0,0,0,0,7,"3.6","6.2","19.0","2.9",2,6,3,5,1,"0.14","0.05","0.19","0.89",57,75801,1636657,156708,80907,7
14,0,"2025-08-17T15:30:00Z",1,FALSE,19,0,0,0,0,0,0,0,1,0,0,0,-3,"3.0","0.3","0.0","0.3",1,1,2,3,0,"0.00","0.00","0.00","0.66",55,0,210465,0,0,8
11,24,"2025-08-23T16:30:00Z",2,FALSE,63,2,1,1,0,0,0,0,0,0,0,3,68,"95.0","28.5","75.0","19.9",2,1,4,6,1,"0.81","0.05","0.86","0.17",55,-23011,219095,14581,37592,8
12,2,"2025-08-31T15:30:00Z",3,FALSE,90,0,0,0,1,0,0,0,0,0,0,0,7,"11.4","12.4","11.0","3.5",5,4,2,7,1,"0.09","0.05","0.14","0.52",56,449352,828444,509691,60339,8
